Player,Position,Draft_Year,Draft_Round,Draft_Pick,Age_when_Drafted,Team,From,To,NFL_Years_Played,Hall_of_Fame_Inductee,All_Pro_First_Team_Selections,Pro_Bowl_Selections,Years_as_NFL_Starter,CarAV,College_Games,College_Games_Started,Rushing_Attempts,Rushing_Yards,Rushing_Touchdowns,Receptions,Receiving _Yards,Receiving_Touchdowns,College_University
James_White,RB,2014,4,130,22,NWE,2014,2019,6,0,0,0,0,33,78,13,274,1119,8,320,2809,24,Wisconsin
Lorenzo_Taliaferro,RB,2014,4,138,22,BAL,2014,2016,3,0,0,0,0,3,19,0,82,339,5,16,153,0,Coastal_Carolina
Alfred_Blue,RB,2014,6,181,23,HOU,2014,2018,5,0,0,0,1,18,72,16,673,2407,8,69,470,2,LSU
Lache_Seastrunk,RB,2014,6,186,23,WAS,2014,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Baylor
Marion_Grice,RB,2014,6,201,23,SDG,2014,2014,1,0,0,0,0,0,10,0,15,41,1,7,29,0,Arizona_St
Tyler_Gaffney,RB,2014,6,204,23,CAR,2014,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Stanford
Jay_Prosch,FB,2014,6,211,22,HOU,2014,2017,4,0,0,0,0,0,63,13,10,42,0,6,61,0,Auburn
Storm_Johnson,RB,2014,7,222,22,JAX,2014,2014,1,0,0,0,0,0,6,1,29,86,2,1,-4,0,Central_Florida
Kiero_Small,RB,2014,7,227,25,SEA,2014,2014,1,0,0,0,0,0,3,3,0,0,0,0,0,0,Arkansas
Trey_Millard,FB,2014,7,245,23,SFO,2014,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Oklahoma
Giovani_Bernard,RB,2013,2,37,21,CIN,2013,2019,7,0,0,0,1,38,99,20,797,3281,19,295,2512,8,North_Carolina
Le'Veon_Bell,RB,2013,2,48,21,PIT,2013,2019,7,0,2,3,5,59,77,77,1474,6125,38,378,3121,8,Michigan_St
Montee_Ball,RB,2013,2,58,22,DEN,2013,2014,2,0,0,0,0,8,21,3,175,731,5,29,207,0,Wisconsin
Eddie_Lacy,RB,2013,2,61,23,GNB,2013,2017,5,0,0,1,3,36,60,51,857,3614,23,107,947,6,Alabama
Christine_Michael,RB,2013,2,62,22,SEA,2013,2018,6,0,0,0,0,9,38,9,256,1089,7,26,135,1,Texas_A+M
Knile_Davis,RB,2013,3,96,21,KAN,2013,2016,4,0,0,0,0,10,57,2,250,805,11,34,271,1,Arkansas
Johnathan_Franklin,RB,2013,4,125,23,GNB,2013,2013,1,0,0,0,0,1,11,0,19,107,1,4,30,0,UCLA
Kyle_Juszczyk,RB,2013,4,130,22,BAL,2013,2019,7,0,0,4,5,13,106,68,25,93,1,180,1647,8,Harvard
Marcus_Lattimore,RB,2013,4,131,21,SFO,2014,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,South_Carolina
Stepfan_Taylor,RB,2013,5,140,22,ARI,2013,2016,4,0,0,0,0,3,61,4,120,393,1,20,154,3,Stanford
Joseph_Randle,RB,2013,5,151,21,DAL,2013,2015,3,0,0,0,0,7,35,8,181,822,9,22,170,0,Oklahoma_St
Chris_Thompson,RB,2013,5,154,22,WAS,2013,2019,7,0,0,0,0,19,66,1,250,1194,5,212,1772,10,Florida_St
Zac_Stacy,RB,2013,5,160,22,STL,2013,2015,3,0,0,0,1,11,35,17,357,1355,9,53,358,1,Vanderbilt
Mike_Gillislee,RB,2013,5,164,22,MIA,2013,2018,6,0,0,0,0,10,36,4,274,1291,16,17,103,1,Florida
Latavius_Murray,RB,2013,6,181,23,OAK,2014,2019,6,0,0,1,4,34,93,56,1045,4335,39,162,1118,1,Central_Florida
Kenjon_Barner,RB,2013,6,182,23,CAR,2013,2019,7,0,0,0,0,4,68,1,100,416,3,28,152,0,Oregon
Andre_Ellington,RB,2013,6,187,24,ARI,2013,2017,5,0,0,0,1,18,65,18,418,1752,10,151,1368,3,Clemson
Mike_James,RB,2013,6,189,22,TAM,2013,2016,4,0,0,0,0,2,23,3,83,351,0,15,60,0,Miami_FL
Rex_Burkhead,RB,2013,6,190,23,CIN,2013,2019,7,0,0,0,0,15,73,9,273,1127,11,105,952,5,Nebraska
Spencer_Ware,RB,2013,6,194,21,SEA,2013,2019,7,0,0,0,1,17,43,19,357,1631,11,64,698,2,LSU
Theo_Riddick,RB,2013,6,199,22,DET,2013,2018,6,0,0,0,1,24,84,19,288,1023,5,285,2238,14,Notre_Dame
Braden_Wilson,FB,2013,6,204,23,KAN,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kansas_St
Tommy_Bohanon,RB,2013,7,215,22,NYJ,2013,2018,6,0,0,0,2,1,68,30,26,72,2,29,239,1,Wake_Forest
Jawan_Jamison,RB,2013,7,228,21,WAS,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rutgers
Kerwynn_Williams,RB,2013,7,230,22,IND,2013,2017,5,0,0,0,0,6,39,6,218,971,4,15,126,0,Utah_St
Michael_Cox,RB,2013,7,253,24,NYG,2013,2014,2,0,0,0,0,0,18,1,26,76,0,5,21,0,Massachusetts
Trent_Richardson,RB,2012,1,3,22,CLE,2012,2014,3,0,0,0,3,17,46,37,614,2032,17,113,912,2,Alabama
Doug_Martin,RB,2012,1,31,23,TAM,2012,2018,7,0,1,2,6,39,84,74,1322,5356,30,148,1207,2,Boise_St
David_Wilson,RB,2012,1,32,21,NYG,2012,2014,3,0,0,0,0,5,21,6,115,504,5,6,42,1,Virginia_Tech
Isaiah_Pead,RB,2012,2,50,22,STL,2012,2016,5,0,0,0,0,1,30,1,27,100,0,15,100,0,Cincinnati
LaMichael_James,RB,2012,2,61,22,SFO,2012,2015,4,0,0,0,0,2,18,0,44,193,0,5,45,0,Oregon
Ronnie_Hillman,RB,2012,3,67,20,DEN,2012,2016,5,0,0,0,1,17,56,16,494,1976,12,74,524,1,San_Diego_St
Bernard_Pierce,RB,2012,3,84,21,BAL,2012,2015,4,0,0,0,0,10,52,3,359,1345,5,32,171,0,Temple
Lamar_Miller,RB,2012,4,97,21,MIA,2012,2018,7,0,0,1,6,42,105,89,1354,5864,32,209,1565,8,Miami_FL
Robert_Turbin,RB,2012,4,106,22,SEA,2012,2019,8,0,0,0,0,16,82,4,355,1354,9,86,688,3,Utah_St
Rhett_Ellison,RB,2012,4,128,23,MIN,2012,2019,8,0,0,0,4,9,113,74,1,1,1,118,1189,7,USC
Bradie_Ewing,RB,2012,5,157,22,ATL,2012,2014,3,0,0,0,0,0,2,2,0,0,0,2,29,0,Wisconsin
Chris_Rainey,RB,2012,5,159,24,PIT,2012,2013,2,0,0,0,0,1,18,0,26,102,2,14,60,0,Florida
Vick_Ballard,RB,2012,5,170,22,IND,2012,2014,3,0,0,0,1,5,17,13,224,877,2,18,147,1,Mississippi_St
Alfred_Morris,RB,2012,6,173,23,WAS,2012,2019,8,0,0,2,4,35,105,70,1374,5935,34,65,494,0,Florida_Atlantic
Cyrus_Gray,RB,2012,6,182,22,KAN,2012,2014,3,0,0,0,0,1,35,0,24,99,1,9,64,0,Texas_A+M
Dan_Herron,RB,2012,6,191,23,CIN,2012,2015,4,0,0,0,0,5,35,3,112,468,1,31,277,0,Ohio_St
Terrance_Ganaway,RB,2012,6,202,23,NYJ,2012,2012,1,0,0,0,0,0,3,0,0,0,0,0,0,0,Baylor
Michael_Smith,RB,2012,7,212,24,TAM,2012,2014,3,0,0,0,0,0,1,0,0,0,0,0,0,0,Utah_St
Bryce_Brown,RB,2012,7,229,21,PHI,2012,2015,4,0,0,0,0,9,42,7,251,1076,7,37,316,0,Kansas_St
Edwin_Baker,RB,2012,7,250,21,SDG,2012,2014,3,0,0,0,0,1,6,2,44,173,2,8,57,0,Michigan_St
Daryl_Richardson,RB,2012,7,252,22,STL,2012,2016,5,0,0,0,0,7,27,3,169,697,0,38,284,0,Abilene_Christian
Mark_Ingram,RB,2011,1,28,21,NOR,2011,2019,9,0,0,3,5,60,121,79,1523,7025,60,254,1845,10,Alabama
Ryan_Williams,RB,2011,2,38,21,ARI,2012,2014,3,0,0,0,0,1,5,3,58,164,0,7,44,0,Virginia_Tech
Shane_Vereen,RB,2011,2,56,22,NWE,2011,2017,7,0,0,0,0,25,79,9,356,1489,8,221,1865,11,California
Mikel_Leshoure,RB,2011,2,57,21,DET,2012,2013,2,0,0,0,1,5,17,14,217,807,9,34,214,0,Illinois
Daniel_Thomas,RB,2011,2,62,23,MIA,2011,2014,4,0,0,0,0,11,52,3,409,1480,10,55,412,3,Kansas_St
DeMarco_Murray,RB,2011,3,71,23,DAL,2011,2017,7,0,1,3,6,62,99,86,1604,7174,49,307,2165,6,Oklahoma
Stevan_Ridley,RB,2011,3,73,22,NWE,2011,2018,8,0,0,0,1,25,74,27,743,3102,24,30,162,0,LSU
Alex_Green,RB,2011,3,96,23,GNB,2011,2013,3,0,0,0,0,5,29,4,149,510,0,21,139,0,Hawaii
